# HA energy export  date=2026-08-15  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum)
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption
00:00,0.214,0.0,0.042,0.067,0.033,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.0,0.0,0.0
01:00,0.275,0.0,0.042,0.071,0.033,0.006,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.054,0.009,0.011,0.0,0.0,0.0
02:00,0.291,0.0,0.042,0.071,0.032,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.07,0.008,0.01,0.0,0.0,0.0
03:00,0.219,0.0,0.042,0.071,0.033,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.009,0.011,0.0,0.0,0.0
04:00,0.332,0.0,0.042,0.056,0.033,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.126,0.008,0.011,0.0,0.0,0.0
05:00,0.204,0.0,0.042,0.055,0.033,0.006,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.0,0.0,0.0
06:00,0.285,0.0,0.042,0.072,0.032,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.064,0.008,0.011,0.0,0.0,0.0
07:00,0.273,0.0,0.042,0.072,0.033,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.051,0.009,0.01,0.0,0.0,0.0
08:00,0.211,0.0,0.042,0.062,0.033,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.0,0.0,0.0
09:00,0.323,0.0,0.042,0.051,0.032,0.006,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.121,0.008,0.011,0.0,0.0,0.0
10:00,0.221,0.0,0.042,0.065,0.033,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.009,0.011,0.0,0.0,0.0
11:00,0.223,0.0,0.042,0.075,0.033,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.008,0.011,0.0,0.0,0.0
12:00,0.336,0.0,0.042,0.068,0.032,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.118,0.009,0.011,0.0,0.0,0.0
13:00,0.2,0.0,0.041,0.054,0.033,0.006,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.01,0.0,0.0,0.0
14:00,0.209,0.0,0.042,0.059,0.033,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.0,0.0,0.0
15:00,0.342,0.0,0.042,0.072,0.032,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.121,0.009,0.011,0.0,0.0,0.0
16:00,0.219,0.0,0.041,0.074,0.033,0.006,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.0,0.0,0.0
17:00,0.21,0.0,0.042,0.063,0.033,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.0,0.0,0.0
18:00,0.324,0.0,0.042,0.055,0.033,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.122,0.008,0.01,0.0,0.0,0.0
19:00,0.214,0.0,0.041,0.062,0.033,0.008,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.0,0.0,0.0
20:00,0.298,0.0,0.042,0.074,0.032,0.024,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.057,0.008,0.011,0.0,0.0,0.0
21:00,0.3,0.0,0.042,0.073,0.033,0.024,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.059,0.008,0.011,0.0,0.0,0.0
22:00,0.226,0.0,0.042,0.055,0.033,0.006,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.022,0.009,0.011,0.0,0.0,0.0
23:00,0.294,0.0,0.042,0.057,0.033,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.088,0.008,0.01,0.0,0.0,0.0
TOTAL_kWh,6.243,0.0,1.005,1.554,0.786,0.167,0.228,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.099,1.073,0.203,0.259,0.0,0.0,0.0
