# HA energy export  date=2026-08-10  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum)
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption
00:00,0.339,0.0,0.041,0.073,0.033,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.117,0.008,0.011,0.0,0.0,0.0
01:00,0.222,0.0,0.043,0.073,0.033,0.006,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.009,0.011,0.0,0.0,0.0
02:00,0.329,0.0,0.042,0.062,0.033,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.114,0.008,0.01,0.0,0.0,0.0
03:00,0.208,0.0,0.042,0.06,0.033,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.0,0.0,0.0
04:00,0.326,0.0,0.043,0.06,0.033,0.006,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.115,0.008,0.011,0.0,0.0,0.0
05:00,0.218,0.0,0.042,0.07,0.033,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.009,0.011,0.0,0.0,0.0
06:00,0.341,0.0,0.042,0.074,0.033,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.117,0.008,0.01,0.0,0.0,0.0
07:00,0.221,0.0,0.043,0.072,0.033,0.006,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.009,0.011,0.0,0.0,0.0
08:00,0.326,0.0,0.043,0.066,0.033,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.109,0.009,0.011,0.0,0.0,0.0
09:00,0.208,0.0,0.042,0.059,0.033,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.008,0.011,0.0,0.0,0.0
10:00,0.207,0.0,0.043,0.057,0.032,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.009,0.011,0.0,0.0,0.0
11:00,0.339,0.0,0.041,0.071,0.033,0.006,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.117,0.008,0.01,0.0,0.0,0.0
12:00,0.22,0.0,0.042,0.073,0.033,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.0,0.0,0.0
13:00,0.337,0.0,0.042,0.071,0.033,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.115,0.008,0.011,0.0,0.0,0.0
14:00,0.215,0.0,0.042,0.069,0.033,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.0,0.0,0.0
15:00,3.472,2.468,0.702,0.058,0.033,0.006,0.009,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.114,0.009,0.01,0.0,0.0,0.0
16:00,1.75,1.072,0.329,0.235,0.033,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.008,0.011,0.0,0.0,0.0
17:00,0.249,0.0,0.042,0.103,0.032,0.005,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.0,0.0,0.0
18:00,0.376,0.0,0.042,0.108,0.033,0.006,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.117,0.008,0.011,0.0,0.0,0.0
19:00,0.218,0.0,0.041,0.071,0.033,0.006,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.009,0.011,0.0,0.0,0.0
20:00,0.346,0.0,0.042,0.07,0.033,0.023,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.109,0.008,0.01,0.0,0.0,0.0
21:00,0.236,0.0,0.041,0.071,0.033,0.023,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.0,0.0,0.0
22:00,0.23,0.0,0.042,0.071,0.033,0.006,0.009,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.01,0.009,0.011,0.0,0.0,0.0
23:00,0.325,0.0,0.042,0.069,0.033,0.005,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.106,0.008,0.011,0.0,0.0,0.0
TOTAL_kWh,11.258,3.54,1.956,1.866,0.79,0.164,0.228,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.091,1.262,0.203,0.259,0.0,0.0,0.0
